CN100402433C,,未缴年费,,一种氧化亚锡纳米片材的水热合成方法,,,,2006/9/7,2008/7/16,浙江理工大学,,浙江理工大学,,,,,,,
CN100403578C,,未缴年费,,电池真空封口方法及其装置,,,,2004/6/1,2008/7/16,广东风华新能源股份有限公司,,广东风华新能源股份有限公司,,,,,,,
CN100403587C,,未缴年费 | 许可,,一种掺杂层状锂离子电池正极材料及其制备方法,,,,2005/5/20,2008/7/16,中南大学,,中南大学,,,,,,,
CN100404413C,,未缴年费 | 权利转移,,锂离子电池正极材料碳包覆磷酸亚铁锂的制备方法,,,,2006/3/22,2008/7/23,宜春天赐高新材料有限公司,,宜春天赐高新材料有限公司,,,,,,,
CN100405638C,,未缴年费,,一种安全型矿灯用的锂离子电池正极材料及其制备方法,,,,2005/11/7,2008/7/23,中国科学院上海微系统与信息技术研究所,,中国科学院上海微系统与信息技术研究所,,,,,,,
CN100406320C,,未缴年费,,车辆的制动储能驱动,,,,2002/1/14,2008/7/30,郑悦,,郑悦,,,,,,,
CN100406376C,,未缴年费,,一种热解碳球的制备方法,,,,2005/11/25,2008/7/30,中国科学院金属研究所,,中国科学院金属研究所,,,,,,,
CN100411231C,,未缴年费,,吡啶基醌衍生物作为负极材料的锂离子电池,,,,2006/7/20,2008/8/13,复旦大学,,复旦大学,,,,,,,
CN100411977C,,未缴年费,,制造用作阴极活性材料的锂金属化合物的方法,,,,2001/11/19,2008/8/20,瓦伦斯技术有限公司,,瓦伦斯技术有限公司,,,,,,,
CN100411978C,,未缴年费,,高振实密度锂离子电池正极材料磷酸钒锂的制备方法,,,,2006/11/21,2008/8/20,华南理工大学,,华南理工大学,,,,,,,
CN100411994C,,未缴年费,,一种掺碳球形Li4Ti5O12的制备方法,,,,2006/7/7,2008/8/20,清华大学,,清华大学,,,,,,,
CN100413122C,,授权 | 权利转移,,含锰的多元金属氧化物、锂离子二次电池的正极材料及其制备方法,,,,2004/11/3,2008/8/20,天津国安盟固利新材料科技股份有限公司,,天津国安盟固利新材料科技股份有限公司,,,,,,,
